1600000US5584350,"Waunakee village, Wisconsin",23.4,1.7
1600000US1869354,"Sheridan town, Indiana",23,1.7
1600000US3510750,"Cannon AFB CDP, New Mexico",23,1.7
1600000US4752400,"Newbern town, Tennessee",23,1.7
1600000US4812112,"Campbell city, Texas",23,1.7
1600000US4010700,"Cache city, Oklahoma",22.9,1.7
1600000US1986565,"Winthrop city, Iowa",22.8,1.7
1600000US5360510,"Ruston city, Washington",22.8,1.7
1600000US1702986,"Augusta village, Illinois",22.5,1.7
1600000US1736347,"Hoyleton village, Illinois",22.5,1.7
1600000US3608169,"Bridgewater CDP, New York",22.1,1.7
1600000US4220800,"East Berwick CDP, Pennsylvania",22.1,1.7
1600000US0543820,"Manila city, Arkansas",21.5,1.7
1600000US3922946,"Dunkirk village, Ohio",21.5,1.7
1600000US4951910,"Morgan city, Utah",18.8,1.7
1600000US2949664,"Montrose city, Missouri",18.6,1.7
1600000US2109964,"Brooks CDP, Kentucky",18.4,1.7
1600000US4273288,"Spring Mills CDP, Pennsylvania",18.4,1.7
1600000US2012650,"Chase city, Kansas",18,1.7
1600000US3356420,"North Walpole CDP, New Hampshire",18,1.7
1600000US4850796,"New Berlin city, Texas",17.9,1.7
1600000US0469480,"Star Valley town, Arizona",17.8,1.7
1600000US3432310,"Ho-Ho-Kus borough, New Jersey",17.7,1.7
1600000US4028250,"Gage town, Oklahoma",17.5,1.7
1600000US0603092,"Atherton town, California",17.4,1.7
1600000US3143055,"St. Edward city, Nebraska",17.4,1.7
1600000US1936705,"Holland city, Iowa",17.3,1.7
1600000US3719140,"Earl town, North Carolina",17.2,1.7
1600000US4629500,"Hitchcock town, South Dakota",16.7,1.7
1600000US1543700,"Lanai City CDP, Hawaii",14,1.7
1600000US2650280,"Mackinac Island city, Michigan",13.5,1.7
1600000US0461370,"Rough Rock CDP, Arizona",13.4,1.7
1600000US1948855,"Manilla city, Iowa",13.3,1.7
1600000US4873124,"Tira town, Texas",13.3,1.7
1600000US0436500,"Kaibab CDP, Arizona",12.7,1.7
1600000US0237975,"Kasigluk CDP, Alaska",12.5,1.7
1600000US4012930,"Cedar Crest CDP, Oklahoma",12.5,1.7
1600000US4984950,"Wolf Creek CDP, Utah",12,1.7
1600000US2455925,"New Windsor town, Maryland",44.7,1.8
1600000US2063350,"Scandia city, Kansas",43.3,1.8
1600000US1269700,"Sunrise city, Florida",38.4,1.8
1600000US2975814,"Velda Village Hills city, Missouri",37.7,1.8
1600000US0536430,"Kensett city, Arkansas",37.3,1.8
1600000US3453610,"Norwood borough, New Jersey",37.1,1.8
1600000US1255775,"Pembroke Pines city, Florida",36.9,1.8
1600000US1232275,"Homestead city, Florida",36.8,1.8
1600000US1270600,"Tallahassee city, Florida",35.8,1.8
1600000US2603000,"Ann Arbor city, Michigan",34.9,1.8
1600000US0658072,"Pomona city, California",34.6,1.8
1600000US4516000,"Columbia city, South Carolina",34.5,1.8
1600000US0604982,"Bellflower city, California",34.3,1.8
1600000US0613588,"Citrus Heights city, California",33.9,1.8
1600000US0636056,"Huntington Park city, California",33.8,1.8
1600000US0681554,"Vacaville city, California",33.1,1.8
1600000US0824620,"Empire town, Colorado",33.1,1.8
1600000US2753080,"Randall city, Minnesota",33.1,1.8
1600000US3680082,"West Glens Falls CDP, New York",33.1,1.8
1600000US4224000,"Erie city, Pennsylvania",33.1,1.8
1600000US1768471,"Seatonville village, Illinois",32.9,1.8
1600000US4164900,"Salem city, Oregon",32.9,1.8
1600000US0628168,"Gardena city, California",32.8,1.8
1600000US0645484,"Manteca city, California",32.6,1.8
1600000US3040075,"Kalispell city, Montana",32.5,1.8
1600000US0428190,"Golden Shores CDP, Arizona",32.4,1.8
1600000US5548750,"Maple Bluff village, Wisconsin",32.4,1.8
1600000US3942210,"Lawrenceville CDP, Ohio",32.3,1.8
1600000US4772540,"Sweetwater city, Tennessee",32,1.8
1600000US5350360,"Oak Harbor city, Washington",32,1.8
1600000US0471510,"Surprise city, Arizona",31.9,1.8
1600000US2601540,"Alma city, Michigan",31.9,1.8
1600000US3748790,"Ogden CDP, North Carolina",31.9,1.8
1600000US2569170,"Taunton city, Massachusetts",31.8,1.8
1600000US4263013,"Pymatuning South CDP, Pennsylvania",31.7,1.8
1600000US5338038,"Lakewood city, Washington",31.7,1.8
1600000US0641992,"Livermore city, California",31.6,1.8
1600000US4853388,"Odessa city, Texas",31.6,1.8
1600000US2915670,"Columbia city, Missouri",31.4,1.8
1600000US1272145,"Town 'n' Country CDP, Florida",31.3,1.8
1600000US1871000,"South Bend city, Indiana",31.3,1.8
1600000US2430325,"Frederick city, Maryland",31.3,1.8
1600000US3419390,"East Orange city, New Jersey",30.8,1.8
1600000US1652120,"Meridian city, Idaho",30.7,1.8
1600000US4052500,"Norman city, Oklahoma",30.5,1.8
1600000US0673262,"South San Francisco city, California",30.4,1.8
1600000US0659444,"Rancho Cordova city, California",30.2,1.8
1600000US2513660,"Chicopee city, Massachusetts",30.2,1.8
1600000US4843888,"Longview city, Texas",30.2,1.8
1600000US4863500,"Round Rock city, Texas",30.2,1.8
1600000US5307380,"Bothell city, Washington",30,1.8
1600000US3570500,"Santa Fe city, New Mexico",29.9,1.8
1600000US0680238,"Tracy city, California",29.8,1.8
1600000US7214290,"Carolina zona urbana, Puerto Rico",29.6,1.8
1600000US3947138,"Mansfield city, Ohio",29.4,1.8
1600000US5525950,"Fitchburg city, Wisconsin",29.4,1.8
1600000US0955990,"Norwalk city, Connecticut",29.3,1.8
1600000US3525800,"Farmington city, New Mexico",29.3,1.8
1600000US5183680,"Waynesboro city, Virginia",29.2,1.8
1600000US4716540,"Columbia city, Tennessee",29.1,1.8
1600000US1718563,"Danville city, Illinois",28.9,1.8
1600000US4050050,"Muskogee city, Oklahoma",28.9,1.8
1600000US5147672,"Lynchburg city, Virginia",28.9,1.8
1600000US0668378,"San Ramon city, California",28.8,1.8
1600000US3621050,"Dundee village, New York",28.8,1.8
1600000US4703760,"Bean Station city, Tennessee",28.6,1.8
1600000US0610345,"Campbell city, California",28.5,1.8
1600000US4838992,"Kerens city, Texas",28.4,1.8
1600000US5139064,"Huntington CDP, Virginia",28.4,1.8
1600000US5312140,"Chewelah city, Washington",28.4,1.8
1600000US4075250,"Tushka town, Oklahoma",28.2,1.8
1600000US0684438,"Westlake Village city, California",28,1.8
1600000US3948244,"Massillon city, Ohio",28,1.8
1600000US4953230,"Murray city, Utah",28,1.8
1600000US3653253,"North Massapequa CDP, New York",27.9,1.8
1600000US0681204,"Union City city, California",27.8,1.8
1600000US2624420,"East Tawas city, Michigan",27.8,1.8
1600000US3925256,"Elyria city, Ohio",27.8,1.8
1600000US2158620,"Owensboro city, Kentucky",27.7,1.8
